task,path,ok,valid_all_checked,examples_checked,examples_passed,examples_failed,memory,params,cost,points,file_size,sha256,error,source_label,current_cost,delta_cost,accepted
task286,E:\kagglegolf\data\external\datasets\afr1ste_6335\task286.onnx,False,True,265,265,0,,,,,14066,7a83ea0af9507d9b50846259cac88a2d3d8c4fdb7170e81cfe67440f86db1dea,,data/external/datasets/afr1ste_6335/task286.onnx,26909.0,,False
task054,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task054.onnx,True,True,266,266,0,25201,193,25394,14.857731795370263,24729,4c32adeb4b99eff1636a64df792d078e679b2bcac084b9d5e9a7f7441aef5b8d,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task054.onnx,25394.0,0.0,False
task054,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task054.onnx,False,True,266,266,0,,151,,,5364,23a990ddabb9e5e0594c2e4b95f608de130b53fe0988e8cd4a3cfa080ecd9e01,,data/external/public_bundles/beicicc_6645/extracted/task054.onnx,25394.0,,False
task054,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\combined_submission\task054.onnx,True,True,266,266,0,150387,161,150548,13.07796275080141,5551,da0ea9c4a4e7de7d20e8867f669de546f57874c7e6fa83c850aad07683855ecc,,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task054.onnx,25394.0,-125154.0,False
task054,E:\kagglegolf\data\external\public_kernel_outputs\jonathan_zip\official_001_400\task054.onnx,True,True,266,266,0,306187,152,306339,12.367552389133587,8955,792476daea17ee9b5bd55d84f129e9502dacf9fcb9530715703dafdcccd1e79a,,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task054.onnx,25394.0,-280945.0,False
task054,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task054.onnx,True,True,266,266,0,378201,151,378352,12.15641974178056,9293,9e0250ab6030b4b0c6e245c32c80c37fc4bf1145dbcfabe76f796875e1a83ac3,,data/interim/afr1ste_6335_batchcompress_rewrite/task054.onnx,25394.0,-352958.0,False
task054,E:\kagglegolf\data\external\datasets\afr1ste_6335\task054.onnx,False,True,266,266,0,,,,,9372,4c2e6aa86bf3f917fd725c7e8b74aeed0a65f908deeef5f637cc69f4b6f52298,,data/external/datasets/afr1ste_6335/task054.onnx,25394.0,,False
task364,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task364.onnx,True,True,266,266,0,14540,102,14642,15.408350609793413,2168,f19018a3101987f4fabfdbdb561c99040bced6864f2b2371c29618faca94c660,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task364.onnx,14642.0,0.0,False
task364,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task364.onnx,False,True,266,266,0,,105,,,8078,dab20c95ec9ab28c70ed78cc3afde130a8e4910a1f82c80eae1aebb234b99a7e,,data/external/public_bundles/beicicc_6645/extracted/task364.onnx,14642.0,,False
task364,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task364.onnx,True,True,266,266,0,157200,188,157388,13.03353062682272,8082,42ef34235ae80ab86adb6aa34e7359f18956d17a4fdae6935a5661bf20fa6c6a,,data/external/public_bundles/jsrdcht_6029_submission_bundle/extracted/task364.onnx,14642.0,-142746.0,False
task364,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\combined_submission\task364.onnx,True,True,266,266,0,76896,963,77859,13.737345222483407,8985,9f5bdb27f1d3209b0218aec767937d478bbe7db43fdf2be16278461b10f9c75f,,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task364.onnx,14642.0,-63217.0,False
task364,E:\kagglegolf\data\external\public_bundles\octaviograu_manual_rewrites_v205\extracted\submission\task364.onnx,True,True,266,266,0,76896,980,77876,13.737126902901199,9250,11a0ad8c61393d7892946c396fdb4016436e9442bfd987bd11780a7a6dc35cae,,data/external/public_bundles/octaviograu_manual_rewrites_v205/extracted/submission/task364.onnx,14642.0,-63234.0,False
task349,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task349.onnx,True,True,267,267,0,13710,1182,14892,15.391420565007392,2664,f7ad5e72db458e26eadd854f4a334b40a15c5374cabd9a0b8b8254bceab71999,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task349.onnx,14892.0,0.0,False
task349,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task349.onnx,False,True,267,267,0,,172,,,6244,9372602d1f162c9472ac17dcec1aae082ca8d58e8b7a8c8ab4b48383d2aa6c61,,data/external/public_bundles/beicicc_6645/extracted/task349.onnx,14892.0,,False
task349,E:\kagglegolf\data\external\public_bundles\vyankteshdwivedi_multi_source\extracted\task349.onnx,True,True,267,267,0,45900,3581,49481,14.190655963511865,8082,ac90c0e86f99540147c788e64cef5c37a116bd4c884d64eb39b1af5b73c8b320,,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task349.onnx,14892.0,-34589.0,False
task349,E:\kagglegolf\data\external\public_kernel_outputs\jonathan_zip\official_001_400\task349.onnx,True,True,267,267,0,322920,140,323060,12.31440665653225,8197,560abaa9b9d133e7c6060671f9c2990e3ca3f3a5e163c3a06c449bfa72a9c57d,,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task349.onnx,14892.0,-308168.0,False
task349,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\combined_submission\task349.onnx,True,True,267,267,0,40500,3579,44079,14.306261242455944,8427,4cc05dc16b10f98c4006406f425e58851f7bafbe44dd60fe5d2893808cd95077,,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task349.onnx,14892.0,-29187.0,False
task077,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task077.onnx,True,True,266,266,0,7620,37,7657,16.056624458886876,979,99f5e5425893037413f1bfbece16fb903cb615dc1dc01b0ea30cefa7c6fb5555,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task077.onnx,7657.0,0.0,False
task077,E:\kagglegolf\data\kaggle_code_single_task\extracted_onnx\galaxy2025_neurogolf_public_artifact_v1\task077.onnx,True,True,266,266,0,155700,196,155896,13.043055602756029,3638,375284c4a438c2fdc7a928ea689047963e768c2a24bc4014a33f1c2405f8352e,,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task077.onnx,7657.0,-148239.0,False
task077,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task077.onnx,False,True,266,266,0,,944,,,6710,38e4adbaff47818924c4cdf7d7a453069fa6aba4a686295a0aa8ede411551583,,data/external/public_bundles/beicicc_6645/extracted/task077.onnx,7657.0,,False
task077,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\combined_submission\task077.onnx,True,True,266,266,0,155700,1794,157494,13.032857358715912,6842,fa41c22ac1add176bba7faac5d7d87bc94cc66db2bb70ed54e346f9de4d34613,,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task077.onnx,7657.0,-149837.0,False
task077,E:\kagglegolf\data\interim\submission1_compare\task077.onnx,True,True,266,266,0,149700,1761,151461,13.071916554950707,7005,d1bb1d309a782a1efbee8a9351be60773b91d719e433b44d9f3c1ca984e005e6,,data/interim/submission1_compare/task077.onnx,7657.0,-143804.0,False
task096,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task096.onnx,True,True,266,266,0,7260,418,7678,16.053885624439257,14209,bc0cf5e62e5cfc7ba17d18ab38009af5831d08e3a0ff77db8f46abca6106186e,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task096.onnx,7678.0,0.0,False
task096,E:\kagglegolf\data\kaggle_code_single_task\extracted_onnx\jonathanchan__ngc26-constraint-smart-logic-mix-blending\task096.onnx,True,True,266,266,0,12725,16643,29368,14.71233907482333,19499,72ff1c70f6e324f0cfe215f7c2a2c3816ffd9b94133e67f1dc4db2c578b4c33a,,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task096.onnx,7678.0,-21690.0,False
task096,E:\kagglegolf\data\external\datasets\afr1ste_6335\task096.onnx,False,True,266,266,0,,16643,,,19549,b24411857c25ed22418df210948551b56b48d50479fa85fda1dff04e79ac2829,,data/external/datasets/afr1ste_6335/task096.onnx,7678.0,,False
task096,E:\kagglegolf\data\external\public_kernel_outputs\jonathan_zip\official_001_400\task096.onnx,True,True,266,266,0,12725,16643,29368,14.71233907482333,19557,389402d570ae5a80bdc207f4c2dabd07844f68e83d407abf107c089a1b576560,,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task096.onnx,7678.0,-21690.0,False
task096,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task096.onnx,False,True,266,266,0,,16644,,,19777,512ce631fe4057e047a4cba0a5b71763278108b1c144afbf374829ad1c9bb497,,data/external/public_bundles/beicicc_6645/extracted/task096.onnx,7678.0,,False
task009,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task009.onnx,True,True,265,265,0,6529,165,6694,16.191033118228727,2039,2418667851ab6ace305a5979282c1008697868a082dfb446722d366d31574008,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task009.onnx,6694.0,0.0,False
task009,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task009.onnx,True,True,265,265,0,460902,914,461816,11.957078177664314,11925,164e0d5eb543fc07340a0214636769233289893bbf2648332aa00f958a3464fe,,data/interim/afr1ste_6335_batchcompress_rewrite/task009.onnx,6694.0,-455122.0,False
task009,E:\kagglegolf\data\external\datasets\afr1ste_6335\task009.onnx,False,True,265,265,0,,,,,11946,28dbbaf4dcb534e51568977310f16db5a07f4226a5ba06ed4fe31e78fc255c66,,data/external/datasets/afr1ste_6335/task009.onnx,6694.0,,False
task009,E:\kagglegolf\data\external\public_kernel_outputs\jonathan_constraint_mix\tmp_build\blend\task009.onnx,True,True,265,265,0,111600,3841,115441,13.343485144081104,30710,89dcd2a3990559cf8dedc746d54743f130c660c64be7387480f21d7f3da65ecb,,data/external/public_kernel_outputs/jonathan_constraint_mix/tmp_build/blend/task009.onnx,6694.0,-108747.0,False
task009,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task009.onnx,False,True,265,265,0,,3842,,,30914,6d1e1429bfc36a56a6236fd1f10ce23049222f112d6f74f9e7fa3a2e40b251a8,,data/external/public_bundles/beicicc_6645/extracted/task009.onnx,6694.0,,False
task383,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task383.onnx,True,True,266,266,0,5734,96,5830,16.32922772065546,4120,10a96442c69cfb062b303048470de1fddd78375deedd90475160b87fc14050cc,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task383.onnx,5830.0,0.0,False
task383,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task383.onnx,True,True,266,266,0,127212,29,127241,13.246161795004017,3193,bbc98988ec528e0858ee04e0ac68e45da2f73e8d7db4106ebd2dafb9e841e5ac,,data/interim/onnx_surgery/GOLF_20260608_029_seddik_surgery_6272/task383.onnx,5830.0,-121411.0,False
task383,E:\kagglegolf\data\interim\submission1_compare\task383.onnx,True,True,266,266,0,123492,33,123525,13.275801156286049,4790,7883392efe4eb5992307892c58e3bd473d1ea71d1ae62b5561adedd527ceb417,,data/interim/submission1_compare/task383.onnx,5830.0,-117695.0,False
task383,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\combined_submission\task383.onnx,True,True,266,266,0,127212,928,128140,13.239121304806988,5001,e41cf986b8a4a2e8bc7bdeacd0f41a4326a94ee1b1f56859ada4d2f7468a53af,,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task383.onnx,5830.0,-122310.0,False
task383,E:\kagglegolf\data\external\public_bundles\vyankteshdwivedi_multi_source\extracted\task383.onnx,True,True,266,266,0,129030,38,129068,13.231905323758399,5005,76b3c84cc83d22a6e1cfcf3cf631a9ebf979bd96f557b1e644efbe9325f733f6,,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task383.onnx,5830.0,-123238.0,False
task382,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task382.onnx,True,True,266,266,0,5568,127,5695,16.352656124118717,6737,ec62415cb08530ff70e410cfd34a811953bb10617017cd31c0648cd493fe02aa,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task382.onnx,5695.0,0.0,False
task382,E:\kagglegolf\data\kaggle_code_single_task\extracted_onnx\galaxy2025_neurogolf_public_artifact_v1\task382.onnx,True,True,266,266,0,94296,382,94678,13.541763060380573,19127,4263a216fa012f16d5b54798c86d57178b524d4aabcd6b460dc7be93ccf6859c,,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task382.onnx,5695.0,-88983.0,False
task382,E:\kagglegolf\data\external\public_bundles\vyankteshdwivedi_multi_source\extracted\task382.onnx,True,True,266,266,0,106896,458,107354,13.416112936092428,19986,14b9a8cc2a3b6c3865bf63db9bd731226657d36477d972681299eb6da25e5bff,,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task382.onnx,5695.0,-101659.0,False
task382,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task382.onnx,True,True,266,266,0,95196,382,95578,13.532302052966461,28488,94f0452abfa272097770831feedaf2065f2785f1eb867eabd4ab7bdee3824b3b,,data/interim/onnx_surgery/GOLF_20260608_029_seddik_surgery_6272/task382.onnx,5695.0,-89883.0,False
task382,E:\kagglegolf\data\interim\submission1_compare\task382.onnx,True,True,266,266,0,90816,384,91200,13.579189823937577,28628,dc9f77928ae4bb14b80f877ca5d8e3cdfa039840816ac06d1f3cd757591b07c3,,data/interim/submission1_compare/task382.onnx,5695.0,-85505.0,False
task278,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task278.onnx,True,True,265,265,0,4464,41,4505,16.58705682995756,751,e009c00b12c7c4f3431b2067475df591f676847aecfb66291c10687e69500399,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task278.onnx,4505.0,0.0,False
task278,E:\kagglegolf\data\interim\arc_dsl_task278\task278.onnx,True,True,265,265,0,25200,30,25230,14.864210958364897,1120,92b2fd2434b9c6352f0addb7f4c1a4d1ca743223d8b3788bf1430a7569996473,,data/interim/arc_dsl_task278/task278.onnx,4505.0,-20725.0,False
task278,E:\kagglegolf\data\external\public_bundles\vyankteshdwivedi_multi_source\extracted\task278.onnx,True,True,265,265,0,34020,363,34383,14.55468246483519,2285,0c14b78590ad46420b694424fb879d1c8bdef545b3a92cd9ef5a15278e77cf1e,,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task278.onnx,4505.0,-29878.0,False
task278,E:\kagglegolf\data\interim\submission1_compare\task278.onnx,True,True,265,265,0,28836,362,29198,14.718144507240075,2757,6fa40e5bd3bf3ea686537b19bd57e52ea582c3b5d0ef3145d1ffe703e1bf5474,,data/interim/submission1_compare/task278.onnx,4505.0,-24693.0,False
task278,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\combined_submission\task278.onnx,True,True,265,265,0,30132,362,30494,14.674714778068148,2799,a70f9cf378e14a966f9c6ecc992d9e4373e7f5f959ed026f6623cb7be8929ea8,,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task278.onnx,4505.0,-25989.0,False
task165,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task165.onnx,True,True,265,265,0,4378,166,4544,16.578437039599013,2323,dddf56c6944b61e6f1ca615f2dca708c3cf4f19b38d13b826c1d4767261023fc,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task165.onnx,4544.0,0.0,False
task165,E:\kagglegolf\data\interim\submission1_compare\task165.onnx,True,True,265,265,0,46790,988,47778,14.2256794385145,4635,4c4194a94301019bc8116296eda2cd4ef8b9ce275071da3d344e4a9fef243f34,,data/interim/submission1_compare/task165.onnx,4544.0,-43234.0,False
task165,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task165.onnx,True,True,265,265,0,66530,994,67524,13.87976163077872,4910,84191da6721ff334125fd7fa8616eb9122ba801b8e467d4f0bac42cdd367fab2,,data/external/public_bundles/jsrdcht_6029_submission_bundle/extracted/task165.onnx,4544.0,-62980.0,False
task165,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task165.onnx,False,True,265,265,0,,998,,,6172,ce7df1b3aa8c23fb5d95aab6f559adf191a618cce1bc22c6cf43f296e38ed1c0,,data/external/public_bundles/beicicc_6645/extracted/task165.onnx,4544.0,,False
task165,E:\kagglegolf\data\external\public_kernel_outputs\jonathan_zip\official_001_400\task165.onnx,True,True,265,265,0,112500,993,113493,13.360503560007135,6369,04d9902d940ce13c7818325dfc26756e2026fe2cc432cfd1824c219e858b9091,,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task165.onnx,4544.0,-108949.0,False
task378,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task378.onnx,True,True,267,267,0,2974,117,3091,16.963750057867884,5072,8d53220134f66c4d6ea7b2cbe16aec67aef316feb7c4ea4a043ef988595f91e0,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task378.onnx,3091.0,0.0,False
task378,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\combined_submission\task378.onnx,True,True,267,267,0,38932,76,39008,14.428477967719003,5481,83b85af797290c872bb4445a649a62c3dbb79def4efe2837004cc95fe7d9308f,,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task378.onnx,3091.0,-35917.0,False
task378,E:\kagglegolf\data\kaggle_code_single_task\extracted_onnx\rauffauzanrambe__neurogolf-champions-arc-best-public-score\task378.onnx,True,True,267,267,0,40516,484,41000,14.378672654313554,6343,e1719f9950e83dc1889743f4737d7c5c8a2606c75b8f2f2f0d26dee49079c766,,data/kaggle_code_single_task/extracted_onnx/rauffauzanrambe__neurogolf-champions-arc-best-public-score/task378.onnx,3091.0,-37909.0,False
task378,E:\kagglegolf\data\external\public_kernel_outputs\jonathan_zip\official_001_400\task378.onnx,True,True,267,267,0,66574,486,67060,13.886656979979781,7256,22f9a0488e5d68ed280b1accbb0dbcbdfac7d790986925eec0c4c9c92b12dc0f,,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task378.onnx,3091.0,-63969.0,False
task378,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task378.onnx,False,True,267,267,0,,163,,,7628,950aafb1860dce93cd103a53f4e716860e937cf14339e67c395525ad31bc2a34,,data/external/public_bundles/beicicc_6645/extracted/task378.onnx,3091.0,,False
task132,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task132.onnx,True,True,267,267,0,3121,531,3652,16.79696975828514,5073,f1f2e5d76b7502d5612c9e8be09c05ef2d279db89390a75c4dba3de10f40ea85,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task132.onnx,3652.0,0.0,False
task132,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task132.onnx,True,True,267,267,0,156756,11,156767,13.037484094434872,1988,ec54e35f4a1462cb2be4a7c15fbc1f323823aa9e64202e1ae59fb357e9d766e1,,data/external/public_bundles/beicicc_6645/extracted/task132.onnx,3652.0,-153115.0,False
task132,E:\kagglegolf\data\external\public_kernel_outputs\jonathan_zip\official_001_400\task132.onnx,True,True,267,267,0,41355,63,41418,14.368529152068469,2287,7a6bb3dcdba686df73a3f508d43b1ac67aeeeb654b07cb5f2e7413b6019895e4,,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task132.onnx,3652.0,-37766.0,False
task132,E:\kagglegolf\data\kaggle_code_single_task\extracted_onnx\jonathanchan__ngc26-constraint-smart-logic-mix-blending\task132.onnx,True,True,267,267,0,40815,64,40879,14.38162823726114,2331,59f093d65daa1ad802b56483d2b8a6e9ea1323b005461d7a002e6d776b17920f,,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task132.onnx,3652.0,-37227.0,False
task132,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\combined_submission\task132.onnx,True,True,267,267,0,29394,64,29458,14.709279200950512,2585,02558813adda79590927fa1e3d0be80af0e44475a6abbd69beb0d87da57bfdbb,,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task132.onnx,3652.0,-25806.0,False
task132,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task132.onnx,False,True,267,267,0,,17,,,2605,53fbd5c7d18f9d1e678a91fd072482a6b43ddd827eebc9f7bf76fcc735e1bca2,,data/interim/afr1ste_6335_batchcompress_rewrite/task132.onnx,3652.0,,False
